guid/image/axis,value
01aaa345-52ad-4939-8207-2d39c11acfdc/0018/x,1.8245643
01aaa345-52ad-4939-8207-2d39c11acfdc/0018/y,-0.57436615
01aaa345-52ad-4939-8207-2d39c11acfdc/0018/z,5.481029
01aaa345-52ad-4939-8207-2d39c11acfdc/0019/x,1.9607829
01aaa345-52ad-4939-8207-2d39c11acfdc/0019/y,-0.6058161
01aaa345-52ad-4939-8207-2d39c11acfdc/0019/z,4.3482656
01aaa345-52ad-4939-8207-2d39c11acfdc/0020/x,1.919108
01aaa345-52ad-4939-8207-2d39c11acfdc/0020/y,-0.5565674
01aaa345-52ad-4939-8207-2d39c11acfdc/0020/z,4.3834977
01aaa345-52ad-4939-8207-2d39c11acfdc/0021/x,2.17805
01aaa345-52ad-4939-8207-2d39c11acfdc/0021/y,-0.6305948
01aaa345-52ad-4939-8207-2d39c11acfdc/0021/z,5.979841
01bb984a-d3f1-4ba5-b0c0-5242533efa4d/0000/x,-13.521135
01bb984a-d3f1-4ba5-b0c0-5242533efa4d/0000/y,-1.3548981
01bb984a-d3f1-4ba5-b0c0-5242533efa4d/0000/z,15.688562
01bb984a-d3f1-4ba5-b0c0-5242533efa4d/0001/x,-13.375951
01bb984a-d3f1-4ba5-b0c0-5242533efa4d/0001/y,-3.0487776
01bb984a-d3f1-4ba5-b0c0-5242533efa4d/0001/z,31.4082
01bb984a-d3f1-4ba5-b0c0-5242533efa4d/0002/x,-8.676337
01bb984a-d3f1-4ba5-b0c0-5242533efa4d/0002/y,-0.8563313
01bb984a-d3f1-4ba5-b0c0-5242533efa4d/0002/z,10.692586
01bb984a-d3f1-4ba5-b0c0-5242533efa4d/0003/x,0.5333768
01bb984a-d3f1-4ba5-b0c0-5242533efa4d/0003/y,-0.6633069
01bb984a-d3f1-4ba5-b0c0-5242533efa4d/0003/z,10.525726
01bb984a-d3f1-4ba5-b0c0-5242533efa4d/0004/x,1.3359019
01bb984a-d3f1-4ba5-b0c0-5242533efa4d/0004/y,-0.5893395
01bb984a-d3f1-4ba5-b0c0-5242533efa4d/0004/z,10.739876
01bb984a-d3f1-4ba5-b0c0-5242533efa4d/0005/x,-0.22147462
01bb984a-d3f1-4ba5-b0c0-5242533efa4d/0005/y,-0.5007905
01bb984a-d3f1-4ba5-b0c0-5242533efa4d/0005/z,10.093757
02a0f3cc-dc81-417d-a9fd-b6066711c610/0000/x,0.055347923
02a0f3cc-dc81-417d-a9fd-b6066711c610/0000/y,-1.6603299
02a0f3cc-dc81-417d-a9fd-b6066711c610/0000/z,10.132775
02a0f3cc-dc81-417d-a9fd-b6066711c610/0001/x,1.9398963
02a0f3cc-dc81-417d-a9fd-b6066711c610/0001/y,-1.7908517
02a0f3cc-dc81-417d-a9fd-b6066711c610/0001/z,9.909289
02a0f3cc-dc81-417d-a9fd-b6066711c610/0002/x,0.62374234
02a0f3cc-dc81-417d-a9fd-b6066711c610/0002/y,-1.8409485
02a0f3cc-dc81-417d-a9fd-b6066711c610/0002/z,9.943269
02a0f3cc-dc81-417d-a9fd-b6066711c610/0003/x,-0.035961404
02a0f3cc-dc81-417d-a9fd-b6066711c610/0003/y,-1.9243251
02a0f3cc-dc81-417d-a9fd-b6066711c610/0003/z,10.145362
02a0f3cc-dc81-417d-a9fd-b6066711c610/0004/x,-0.2224917
02a0f3cc-dc81-417d-a9fd-b6066711c610/0004/y,-1.8971261
02a0f3cc-dc81-417d-a9fd-b6066711c610/0004/z,10.023501
02a0f3cc-dc81-417d-a9fd-b6066711c610/0005/x,-0.10609622
02a0f3cc-dc81-417d-a9fd-b6066711c610/0005/y,-1.9012302
02a0f3cc-dc81-417d-a9fd-b6066711c610/0005/z,10.038696
02a0f3cc-dc81-417d-a9fd-b6066711c610/0006/x,0.07354426
02a0f3cc-dc81-417d-a9fd-b6066711c610/0006/y,-1.8863667
02a0f3cc-dc81-417d-a9fd-b6066711c610/0006/z,10.017553
02a0f3cc-dc81-417d-a9fd-b6066711c610/0007/x,-0.15952173
02a0f3cc-dc81-417d-a9fd-b6066711c610/0007/y,-1.951307
02a0f3cc-dc81-417d-a9fd-b6066711c610/0007/z,11.11832
02a0f3cc-dc81-417d-a9fd-b6066711c610/0008/x,0.5850029
02a0f3cc-dc81-417d-a9fd-b6066711c610/0008/y,-2.2989337
02a0f3cc-dc81-417d-a9fd-b6066711c610/0008/z,12.29182
02a0f3cc-dc81-417d-a9fd-b6066711c610/0009/x,-2.5762014
02a0f3cc-dc81-417d-a9fd-b6066711c610/0009/y,-2.1412115
02a0f3cc-dc81-417d-a9fd-b6066711c610/0009/z,12.959076
02a0f3cc-dc81-417d-a9fd-b6066711c610/0011/x,0.38945502
02a0f3cc-dc81-417d-a9fd-b6066711c610/0011/y,-3.637977
02a0f3cc-dc81-417d-a9fd-b6066711c610/0011/z,45.040462
02a0f3cc-dc81-417d-a9fd-b6066711c610/0014/x,23.924135
02a0f3cc-dc81-417d-a9fd-b6066711c610/0014/y,-3.639626
02a0f3cc-dc81-417d-a9fd-b6066711c610/0014/z,31.634943
02a0f3cc-dc81-417d-a9fd-b6066711c610/0015/x,15.81022
02a0f3cc-dc81-417d-a9fd-b6066711c610/0015/y,-3.523518
02a0f3cc-dc81-417d-a9fd-b6066711c610/0015/z,30.37207
02a0f3cc-dc81-417d-a9fd-b6066711c610/0022/x,3.7758472
02a0f3cc-dc81-417d-a9fd-b6066711c610/0022/y,-5.2833524
02a0f3cc-dc81-417d-a9fd-b6066711c610/0022/z,47.356274
02a0f3cc-dc81-417d-a9fd-b6066711c610/0023/x,13.105947
02a0f3cc-dc81-417d-a9fd-b6066711c610/0023/y,-3.3161201
02a0f3cc-dc81-417d-a9fd-b6066711c610/0023/z,27.186672
02a0f3cc-dc81-417d-a9fd-b6066711c610/0024/x,12.10211
02a0f3cc-dc81-417d-a9fd-b6066711c610/0024/y,-2.180098
02a0f3cc-dc81-417d-a9fd-b6066711c610/0024/z,15.773729
02a0f3cc-dc81-417d-a9fd-b6066711c610/0027/x,-8.091403
02a0f3cc-dc81-417d-a9fd-b6066711c610/0027/y,-4.8067474
02a0f3cc-dc81-417d-a9fd-b6066711c610/0027/z,45.18422
02a0f3cc-dc81-417d-a9fd-b6066711c610/0028/x,-3.335448
02a0f3cc-dc81-417d-a9fd-b6066711c610/0028/y,-2.7510915
02a0f3cc-dc81-417d-a9fd-b6066711c610/0028/z,24.79771
02a0f3cc-dc81-417d-a9fd-b6066711c610/0029/x,-3.5790796
02a0f3cc-dc81-417d-a9fd-b6066711c610/0029/y,-1.0003955
02a0f3cc-dc81-417d-a9fd-b6066711c610/0029/z,1.9538226
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0000/x,2.3635776
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0000/y,-0.8989278
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0000/z,16.540571
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0001/x,-3.9365826
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0001/y,-1.6693188
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0001/z,39.474827
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0002/x,0.3393497
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0002/y,-1.3511447
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0002/z,18.729994
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0003/x,0.60252583
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0003/y,-1.210975
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0003/z,23.530525
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0004/x,4.493416
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0004/y,-3.3765695
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0004/z,33.838833
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0005/x,-4.743678
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0005/y,-2.754322
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0005/z,46.54623
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0006/x,-4.8943605
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0006/y,-3.396993
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0006/z,46.265648
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0007/x,1.3477465
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0007/y,-2.8195937
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0007/z,37.190445
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0008/x,-0.20749639
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0008/y,-1.522765
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0008/z,23.869532
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0009/x,8.411795
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0009/y,-0.4156865
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0009/z,35.28596
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0010/x,3.1240816
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0010/y,-1.1478033
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0010/z,25.837301
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0011/x,1.5177249
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0011/y,0.17506842
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0011/z,7.8194046
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0012/x,0.3014206
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0012/y,-0.75939536
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0012/z,17.41807
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0013/x,1.3806992
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0013/y,-0.6050105
03efdd60-a7f4-4e03-8723-6f4bf6c1f276/0013/z,13.41791
04d6d691-60c8-4fe1-9767-86c6d8c01815/0000/x,0.6413472
04d6d691-60c8-4fe1-9767-86c6d8c01815/0000/y,-1.2651025
04d6d691-60c8-4fe1-9767-86c6d8c01815/0000/z,19.22321
04d6d691-60c8-4fe1-9767-86c6d8c01815/0001/x,0.13520068
04d6d691-60c8-4fe1-9767-86c6d8c01815/0001/y,-1.7709346
04d6d691-60c8-4fe1-9767-86c6d8c01815/0001/z,15.50275
04d6d691-60c8-4fe1-9767-86c6d8c01815/0002/x,0.3770478
04d6d691-60c8-4fe1-9767-86c6d8c01815/0002/y,-0.9324243
04d6d691-60c8-4fe1-9767-86c6d8c01815/0002/z,11.944296
04d6d691-60c8-4fe1-9767-86c6d8c01815/0003/x,0.2907473
04d6d691-60c8-4fe1-9767-86c6d8c01815/0003/y,-0.31655505
04d6d691-60c8-4fe1-9767-86c6d8c01815/0003/z,9.17966
04d6d691-60c8-4fe1-9767-86c6d8c01815/0004/x,0.1056411
04d6d691-60c8-4fe1-9767-86c6d8c01815/0004/y,-0.07894592
04d6d691-60c8-4fe1-9767-86c6d8c01815/0004/z,6.702637
04d6d691-60c8-4fe1-9767-86c6d8c01815/0005/x,0.54397106
04d6d691-60c8-4fe1-9767-86c6d8c01815/0005/y,-0.08275278
04d6d691-60c8-4fe1-9767-86c6d8c01815/0005/z,7.778821
04d6d691-60c8-4fe1-9767-86c6d8c01815/0006/x,0.33688006
04d6d691-60c8-4fe1-9767-86c6d8c01815/0006/y,-0.06170447
04d6d691-60c8-4fe1-9767-86c6d8c01815/0006/z,7.658723
04d6d691-60c8-4fe1-9767-86c6d8c01815/0007/x,1.1361003
04d6d691-60c8-4fe1-9767-86c6d8c01815/0007/y,-0.22698595
04d6d691-60c8-4fe1-9767-86c6d8c01815/0007/z,7.186359
04d6d691-60c8-4fe1-9767-86c6d8c01815/0008/x,1.1693212
04d6d691-60c8-4fe1-9767-86c6d8c01815/0008/y,-0.23315415
04d6d691-60c8-4fe1-9767-86c6d8c01815/0008/z,6.816611
04d6d691-60c8-4fe1-9767-86c6d8c01815/0009/x,-0.07613382
04d6d691-60c8-4fe1-9767-86c6d8c01815/0009/y,0.07357253
04d6d691-60c8-4fe1-9767-86c6d8c01815/0009/z,7.4182773
04d6d691-60c8-4fe1-9767-86c6d8c01815/0010/x,-0.6962484
04d6d691-60c8-4fe1-9767-86c6d8c01815/0010/y,0.06366698
04d6d691-60c8-4fe1-9767-86c6d8c01815/0010/z,7.3333445
04d6d691-60c8-4fe1-9767-86c6d8c01815/0011/x,0.0074933786
04d6d691-60c8-4fe1-9767-86c6d8c01815/0011/y,-0.30931273
04d6d691-60c8-4fe1-9767-86c6d8c01815/0011/z,7.4971976
04d6d691-60c8-4fe1-9767-86c6d8c01815/0012/x,-0.15814605
04d6d691-60c8-4fe1-9767-86c6d8c01815/0012/y,-0.04218325
04d6d691-60c8-4fe1-9767-86c6d8c01815/0012/z,8.144891
04d6d691-60c8-4fe1-9767-86c6d8c01815/0013/x,-0.45128477
04d6d691-60c8-4fe1-9767-86c6d8c01815/0013/y,-0.36128414
04d6d691-60c8-4fe1-9767-86c6d8c01815/0013/z,8.81995
04d6d691-60c8-4fe1-9767-86c6d8c01815/0014/x,-0.72827387
04d6d691-60c8-4fe1-9767-86c6d8c01815/0014/y,-0.12653393
04d6d691-60c8-4fe1-9767-86c6d8c01815/0014/z,6.570818
04d6d691-60c8-4fe1-9767-86c6d8c01815/0015/x,0.3378111
04d6d691-60c8-4fe1-9767-86c6d8c01815/0015/y,-0.2877248
04d6d691-60c8-4fe1-9767-86c6d8c01815/0015/z,7.363205
04d6d691-60c8-4fe1-9767-86c6d8c01815/0016/x,-0.69042933
04d6d691-60c8-4fe1-9767-86c6d8c01815/0016/y,-0.102385424
04d6d691-60c8-4fe1-9767-86c6d8c01815/0016/z,6.8147497
04d6d691-60c8-4fe1-9767-86c6d8c01815/0017/x,-0.81012064
04d6d691-60c8-4fe1-9767-86c6d8c01815/0017/y,0.0012717933
04d6d691-60c8-4fe1-9767-86c6d8c01815/0017/z,5.767627
04d6d691-60c8-4fe1-9767-86c6d8c01815/0018/x,-0.5208115
04d6d691-60c8-4fe1-9767-86c6d8c01815/0018/y,-0.00990168
04d6d691-60c8-4fe1-9767-86c6d8c01815/0018/z,5.5075817
04d6d691-60c8-4fe1-9767-86c6d8c01815/0019/x,0.0036248595
04d6d691-60c8-4fe1-9767-86c6d8c01815/0019/y,-0.019620907
04d6d691-60c8-4fe1-9767-86c6d8c01815/0019/z,5.561446
04d6d691-60c8-4fe1-9767-86c6d8c01815/0020/x,0.091943815
04d6d691-60c8-4fe1-9767-86c6d8c01815/0020/y,-0.02919292
04d6d691-60c8-4fe1-9767-86c6d8c01815/0020/z,5.4964547
04d6d691-60c8-4fe1-9767-86c6d8c01815/0021/x,0.13080472
04d6d691-60c8-4fe1-9767-86c6d8c01815/0021/y,-0.36040494
04d6d691-60c8-4fe1-9767-86c6d8c01815/0021/z,5.2029996
04d6d691-60c8-4fe1-9767-86c6d8c01815/0022/x,0.06885788
04d6d691-60c8-4fe1-9767-86c6d8c01815/0022/y,-0.04088413
04d6d691-60c8-4fe1-9767-86c6d8c01815/0022/z,5.526312
04d6d691-60c8-4fe1-9767-86c6d8c01815/0023/x,0.14657
04d6d691-60c8-4fe1-9767-86c6d8c01815/0023/y,-0.052779395
04d6d691-60c8-4fe1-9767-86c6d8c01815/0023/z,5.519068
04d6d691-60c8-4fe1-9767-86c6d8c01815/0024/x,0.48060116
04d6d691-60c8-4fe1-9767-86c6d8c01815/0024/y,-0.36532572
04d6d691-60c8-4fe1-9767-86c6d8c01815/0024/z,7.9178267
04d6d691-60c8-4fe1-9767-86c6d8c01815/0025/x,1.4680755
04d6d691-60c8-4fe1-9767-86c6d8c01815/0025/y,-1.2744235
04d6d691-60c8-4fe1-9767-86c6d8c01815/0025/z,15.834496
04d6d691-60c8-4fe1-9767-86c6d8c01815/0026/x,3.4788408
04d6d691-60c8-4fe1-9767-86c6d8c01815/0026/y,-2.2101033
04d6d691-60c8-4fe1-9767-86c6d8c01815/0026/z,23.551104
04d6d691-60c8-4fe1-9767-86c6d8c01815/0027/x,-5.220055
04d6d691-60c8-4fe1-9767-86c6d8c01815/0027/y,0.19237179
04d6d691-60c8-4fe1-9767-86c6d8c01815/0027/z,5.5920615
04d6d691-60c8-4fe1-9767-86c6d8c01815/0028/x,6.434684
04d6d691-60c8-4fe1-9767-86c6d8c01815/0028/y,-2.803151
04d6d691-60c8-4fe1-9767-86c6d8c01815/0028/z,23.420307
04d6d691-60c8-4fe1-9767-86c6d8c01815/0029/x,-13.251894
04d6d691-60c8-4fe1-9767-86c6d8c01815/0029/y,-3.4848888
04d6d691-60c8-4fe1-9767-86c6d8c01815/0029/z,37.346184
04d6d691-60c8-4fe1-9767-86c6d8c01815/0030/x,-13.833994
04d6d691-60c8-4fe1-9767-86c6d8c01815/0030/y,-2.093435
04d6d691-60c8-4fe1-9767-86c6d8c01815/0030/z,20.047354
04d6d691-60c8-4fe1-9767-86c6d8c01815/0031/x,-13.377521
04d6d691-60c8-4fe1-9767-86c6d8c01815/0031/y,-0.88120914
04d6d691-60c8-4fe1-9767-86c6d8c01815/0031/z,16.329924
04d6d691-60c8-4fe1-9767-86c6d8c01815/0033/x,-16.918333
04d6d691-60c8-4fe1-9767-86c6d8c01815/0033/y,-1.7472539
04d6d691-60c8-4fe1-9767-86c6d8c01815/0033/z,40.908936
04d6d691-60c8-4fe1-9767-86c6d8c01815/0034/x,-9.64758
04d6d691-60c8-4fe1-9767-86c6d8c01815/0034/y,-1.5400369
04d6d691-60c8-4fe1-9767-86c6d8c01815/0034/z,32.49384
04d6d691-60c8-4fe1-9767-86c6d8c01815/0035/x,-6.8952703
04d6d691-60c8-4fe1-9767-86c6d8c01815/0035/y,-0.9756502
04d6d691-60c8-4fe1-9767-86c6d8c01815/0035/z,22.301016
04d6d691-60c8-4fe1-9767-86c6d8c01815/0036/x,-8.612435
04d6d691-60c8-4fe1-9767-86c6d8c01815/0036/y,0.2874881
04d6d691-60c8-4fe1-9767-86c6d8c01815/0036/z,10.384838
04d6d691-60c8-4fe1-9767-86c6d8c01815/0038/x,-14.289357
04d6d691-60c8-4fe1-9767-86c6d8c01815/0038/y,-3.208822
04d6d691-60c8-4fe1-9767-86c6d8c01815/0038/z,42.263298
04d6d691-60c8-4fe1-9767-86c6d8c01815/0039/x,-6.204921
04d6d691-60c8-4fe1-9767-86c6d8c01815/0039/y,-1.1195008
04d6d691-60c8-4fe1-9767-86c6d8c01815/0039/z,15.903524
04d6d691-60c8-4fe1-9767-86c6d8c01815/0041/x,7.4057674
04d6d691-60c8-4fe1-9767-86c6d8c01815/0041/y,-4.041607
04d6d691-60c8-4fe1-9767-86c6d8c01815/0041/z,41.261047
04d6d691-60c8-4fe1-9767-86c6d8c01815/0043/x,3.365578
04d6d691-60c8-4fe1-9767-86c6d8c01815/0043/y,-3.8341637
04d6d691-60c8-4fe1-9767-86c6d8c01815/0043/z,37.05997
04d6d691-60c8-4fe1-9767-86c6d8c01815/0044/x,-2.7905617
04d6d691-60c8-4fe1-9767-86c6d8c01815/0044/y,-0.64976054
04d6d691-60c8-4fe1-9767-86c6d8c01815/0044/z,11.738755
04d6d691-60c8-4fe1-9767-86c6d8c01815/0045/x,8.733268
04d6d691-60c8-4fe1-9767-86c6d8c01815/0045/y,-1.7044389
04d6d691-60c8-4fe1-9767-86c6d8c01815/0045/z,32.020393
04d6d691-60c8-4fe1-9767-86c6d8c01815/0046/x,-1.6812836
04d6d691-60c8-4fe1-9767-86c6d8c01815/0046/y,-0.26383385
04d6d691-60c8-4fe1-9767-86c6d8c01815/0046/z,12.281357
04d6d691-60c8-4fe1-9767-86c6d8c01815/0048/x,-7.373564
04d6d691-60c8-4fe1-9767-86c6d8c01815/0048/y,-1.0459102
04d6d691-60c8-4fe1-9767-86c6d8c01815/0048/z,26.865496
04d6d691-60c8-4fe1-9767-86c6d8c01815/0049/x,-10.135604
04d6d691-60c8-4fe1-9767-86c6d8c01815/0049/y,0.2977344
04d6d691-60c8-4fe1-9767-86c6d8c01815/0049/z,14.723438
04d6d691-60c8-4fe1-9767-86c6d8c01815/0050/x,-11.469706
04d6d691-60c8-4fe1-9767-86c6d8c01815/0050/y,-1.4727069
04d6d691-60c8-4fe1-9767-86c6d8c01815/0050/z,21.871584
05439d41-da58-45de-9dd6-77f41aeb8820/0001/x,12.191561
05439d41-da58-45de-9dd6-77f41aeb8820/0001/y,-2.5450437
05439d41-da58-45de-9dd6-77f41aeb8820/0001/z,42.965096
05439d41-da58-45de-9dd6-77f41aeb8820/0002/x,8.962424
05439d41-da58-45de-9dd6-77f41aeb8820/0002/y,-4.9784384
05439d41-da58-45de-9dd6-77f41aeb8820/0002/z,37.759865
05439d41-da58-45de-9dd6-77f41aeb8820/0003/x,-9.103945
05439d41-da58-45de-9dd6-77f41aeb8820/0003/y,-1.5442901
05439d41-da58-45de-9dd6-77f41aeb8820/0003/z,20.757215
05439d41-da58-45de-9dd6-77f41aeb8820/0004/x,28.790865
05439d41-da58-45de-9dd6-77f41aeb8820/0004/y,-4.1078506
05439d41-da58-45de-9dd6-77f41aeb8820/0004/z,29.266884
05439d41-da58-45de-9dd6-77f41aeb8820/0005/x,1.9198112
05439d41-da58-45de-9dd6-77f41aeb8820/0005/y,-1.4475064
05439d41-da58-45de-9dd6-77f41aeb8820/0005/z,13.690944
05439d41-da58-45de-9dd6-77f41aeb8820/0006/x,1.6162665
05439d41-da58-45de-9dd6-77f41aeb8820/0006/y,0.10628502
05439d41-da58-45de-9dd6-77f41aeb8820/0006/z,6.547371
05439d41-da58-45de-9dd6-77f41aeb8820/0009/x,-10.420676
05439d41-da58-45de-9dd6-77f41aeb8820/0009/y,-0.28609943
05439d41-da58-45de-9dd6-77f41aeb8820/0009/z,10.59302
05439d41-da58-45de-9dd6-77f41aeb8820/0010/x,-11.284991
05439d41-da58-45de-9dd6-77f41aeb8820/0010/y,-3.3036368
05439d41-da58-45de-9dd6-77f41aeb8820/0010/z,34.613235
05439d41-da58-45de-9dd6-77f41aeb8820/0011/x,-19.517647
05439d41-da58-45de-9dd6-77f41aeb8820/0011/y,-3.0845914
05439d41-da58-45de-9dd6-77f41aeb8820/0011/z,25.856537
05439d41-da58-45de-9dd6-77f41aeb8820/0012/x,-14.045024
05439d41-da58-45de-9dd6-77f41aeb8820/0012/y,-1.9094967
05439d41-da58-45de-9dd6-77f41aeb8820/0012/z,11.460944
05439d41-da58-45de-9dd6-77f41aeb8820/0013/x,-5.4309835
05439d41-da58-45de-9dd6-77f41aeb8820/0013/y,-0.9351751
05439d41-da58-45de-9dd6-77f41aeb8820/0013/z,4.494994
05439d41-da58-45de-9dd6-77f41aeb8820/0015/x,-5.6690216
05439d41-da58-45de-9dd6-77f41aeb8820/0015/y,-0.8874752
05439d41-da58-45de-9dd6-77f41aeb8820/0015/z,11.157434
05439d41-da58-45de-9dd6-77f41aeb8820/0016/x,-15.531102
05439d41-da58-45de-9dd6-77f41aeb8820/0016/y,-4.7580886
05439d41-da58-45de-9dd6-77f41aeb8820/0016/z,32.354095
05439d41-da58-45de-9dd6-77f41aeb8820/0019/x,-12.43056
05439d41-da58-45de-9dd6-77f41aeb8820/0019/y,-1.9817146
05439d41-da58-45de-9dd6-77f41aeb8820/0019/z,35.446045
05439d41-da58-45de-9dd6-77f41aeb8820/0020/x,-6.6404247
05439d41-da58-45de-9dd6-77f41aeb8820/0020/y,-0.5208746
05439d41-da58-45de-9dd6-77f41aeb8820/0020/z,10.264989
05439d41-da58-45de-9dd6-77f41aeb8820/0022/x,-6.322924
05439d41-da58-45de-9dd6-77f41aeb8820/0022/y,-0.7339796
05439d41-da58-45de-9dd6-77f41aeb8820/0022/z,14.420549
05439d41-da58-45de-9dd6-77f41aeb8820/0023/x,-6.6772676
05439d41-da58-45de-9dd6-77f41aeb8820/0023/y,-1.3682486
05439d41-da58-45de-9dd6-77f41aeb8820/0023/z,22.807964
05439d41-da58-45de-9dd6-77f41aeb8820/0026/x,-7.005613
05439d41-da58-45de-9dd6-77f41aeb8820/0026/y,-2.5833364
05439d41-da58-45de-9dd6-77f41aeb8820/0026/z,35.87776
05439d41-da58-45de-9dd6-77f41aeb8820/0029/x,2.4718091
05439d41-da58-45de-9dd6-77f41aeb8820/0029/y,-4.654925
05439d41-da58-45de-9dd6-77f41aeb8820/0029/z,49.138397
05439d41-da58-45de-9dd6-77f41aeb8820/0030/x,2.8990493
05439d41-da58-45de-9dd6-77f41aeb8820/0030/y,-2.338389
05439d41-da58-45de-9dd6-77f41aeb8820/0030/z,26.939901
05439d41-da58-45de-9dd6-77f41aeb8820/0032/x,-13.173439
05439d41-da58-45de-9dd6-77f41aeb8820/0032/y,-1.9679542
05439d41-da58-45de-9dd6-77f41aeb8820/0032/z,39.255116
0553eafe-b79a-4b75-8707-1c3493b07c6a/0000/x,0.18714827
0553eafe-b79a-4b75-8707-1c3493b07c6a/0000/y,-1.7031252
0553eafe-b79a-4b75-8707-1c3493b07c6a/0000/z,10.485339
